interp_type,duration,sx,sy,sz,ex,ey,ez,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z,c4x,c4y,c4z,c5x,c5y,c5z,c6x,c6y,c6z,c7x,c7y,c7z,c8x,c8y,c8z,c9x,c9y,c9z,c10x,c10y,c10z,c11x,c11y,c11z,c12x,c12y,c12z,c13x,c13y,c13z,c14x,c14y,c14z,c15x,c15y,c15z
linear,1,0.19,0.5,0.3,-0.19,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,-0.19,0.5,0.1,-0.08,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,-0.08,0.5,0.1,-0.13,0.52,0.1,-0.08,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,-0.13,0.52,0.1,-0.13,0.47,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,-0.13,0.47,0.1,-0.13,0.5,0.1,-0.13,0.47,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1,-0.13,0.5,0.1,-0.19,0.47,0.1,-0.16,0.49,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,-0.19,0.47,0.1,-0.13,0.5,0.1,-0.19,0.47,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1,-0.13,0.5,0.1,-0.07,0.47,0.1,-0.1,0.49,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,-0.07,0.47,0.1,-0.17,0.46,0.1,-0.07,0.47,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,-0.17,0.46,0.1,-0.1,0.46,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,-0.1,0.46,0.1,-0.1,0.46,0.1,-0.1,0.46,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,-0.1,0.46,0.1,-0.13,0.45,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,-0.13,0.45,0.1,-0.13,0.45,0.1,-0.13,0.45,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,-0.13,0.45,0.1,-0.13,0.41,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,-0.13,0.41,0.1,-0.13,0.41,0.1,-0.13,0.41,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,-0.13,0.41,0.1,-0.15,0.41,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,-0.15,0.41,0.1,-0.19,0.44,0.1,-0.15,0.41,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,-0.19,0.44,0.1,-0.08,0.44,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,2,-0.08,0.44,0.1,-0.01,0.52,0.1,-0.08,0.44,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,-0.01,0.52,0.1,0.01,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,0.01,0.5,0.1,-0.055,0.49,0.1,0.01,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,-0.055,0.49,0.1,0.055,0.49,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,0.055,0.49,0.1,0.025,0.49,0.1,0.055,0.49,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1,0.025,0.49,0.1,-0.05,0.4,0.1,-0.019,0.47,0.1,0.023,0.43,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,-0.05,0.4,0.1,-0.025,0.49,0.1,-0.05,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1,-0.025,0.49,0.1,0.05,0.4,0.1,0.016,0.47,0.1,-0.022,0.43,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,2,0.05,0.4,0.1,0.095,0.52,0.1,0.05,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,0.095,0.52,0.1,0.095,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,0.095,0.4,0.1,0.08,0.485,0.1,0.095,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1,0.08,0.485,0.1,0.075,0.465,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,0.075,0.465,0.1,0.105,0.485,0.1,0.075,0.465,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,0.105,0.485,0.1,0.112,0.48,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,0.112,0.48,0.1,0.115,0.51,0.1,0.112,0.48,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,0.115,0.51,0.1,0.185,0.51,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,0.185,0.51,0.1,0.125,0.475,0.1,0.185,0.51,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,0.125,0.475,0.1,0.125,0.44,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,0.125,0.44,0.1,0.175,0.475,0.1,0.125,0.44,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,0.175,0.475,0.1,0.175,0.44,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,0.175,0.44,0.1,0.125,0.475,0.1,0.175,0.44,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,0.125,0.475,0.1,0.175,0.475,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,0.175,0.475,0.1,0.125,0.4575,0.1,0.175,0.475,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,0.125,0.4575,0.1,0.175,0.4575,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,0.175,0.4575,0.1,0.125,0.44,0.1,0.175,0.4575,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,0.125,0.44,0.1,0.175,0.44,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bspline,1.5,0.175,0.44,0.1,0.115,0.415,0.1,0.175,0.44,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear,1,0.115,0.415,0.1,0.185,0.415,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
